Nombre,Subcategoria,Precio,Ruta de la Imagen,Calorias,Grasas,Carbohidratos,Proteínas,Fibra,Sal,Azúcares,supermercado,Categoria
Licor dulce Amaretto Del Patriarca,Licores,"4,90 €",img_mercadona\Licores\Otros_licores\Licor_dulce_Amaretto_Del_Patriarca_4.jpg,179.68,6.74,20.81,8.41,0.0,0.0,3.89,Mercadona,Bebidas
Fideuá Hacendado,Pasta y fideos,"0,78 €",img_mercadona\Pasta_y_fideos\Fideos\Fideuá_Hacendado_1.jpg,366.0,1.5,74.0,12.0,3.76,0.67,0.63,Mercadona,Alimentos Básicos
Tónica zero Toni Tónico de Dia lata 25 cl,AguaRefrescosZumos,"0,35 €",https://www.dia.es/product_images/301838/301838_ISO_0_ES.jpg?imwidth=176,1kcal,0g,0g,0g,0.0,"0,01g",0.0,Día,Bebidas
ROYAL Filete de bacalao desalado ROYAL 300 g.,ahumados_surimis_anchoas_pulpos_otros,"14,49 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\ROYAL_Filete_de_bacalao_desalado_ROYAL_300_g._119.jpg,252,10.2,4.1,25.7,0.0,1.2,3.7,Alcampo,Carnes y Pescados
BOKEO Gilda triple boquerón 120 gr.,ahumados_surimis_anchoas_pulpos_otros,"7,49 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\BOKEO_Gilda_triple_boquerón_120_gr._30.jpg,263,13.5,22.7,21.8,0.0,0.8,2.8,Alcampo,Carnes y Pescados
L.R. Leche entera 6 x 1 l.,Leche,"5,54 €",img_alcampo/Leche\L.R._Leche_entera_6_x_1_l._4.jpg,189,8.7,14.9,28.2,0.0,0.8,7.4,Alcampo,Lácteos y Huevos
Bombones Ferrero Rocher,Chocolate,"6,50 €",img_mercadona\Chocolate\Bombones\Bombones_Ferrero_Rocher_1.jpg,129.38,6.79,15.36,1.66,0.35,0.05,25.56,Mercadona,Dulces y Snacks
Medio repollo liso,Verdura,"1,49 €",img_mercadona\Verdura\Repollo_y_col\Medio_repollo_liso_2.jpg,49.04,0.6,8.98,1.77,1.73,0.02,0.88,Mercadona,Frutas y Verduras
Bandeja con burger meat mixta (vacuno - cero) ROLER 6 x 80 g.,burguer_meat_picada,"3,79 €",img_alcampo/burguer_meat_picada\Bandeja_con_burger_meat_mixta_(vacuno_-_cero)_ROLER_6_x_80_g._19.jpg,204,6.9,0.4,22.7,0.0,0.3,5.5,Alcampo,Carnes y Pescados
"PASCUAL Leche semidesnatada de vaca, con calcio y con un alto contenido en vitamina D 6 x 1 l.",Leche,"9,00 €","img_alcampo/Leche\PASCUAL_Leche_semidesnatada_de_vaca,_con_calcio_y_con_un_alto_contenido_en_vitamina_D_6_x_1_l._15.jpg",176,11.8,2.9,25.5,0.0,1.1,1.7,Alcampo,Lácteos y Huevos
Hogaza de maíz 20% de masa madre El molino de Dia bolsa 330 g,PanesHarinasMasas,"1,29 €",https://www.dia.es/product_images/300469/300469_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Alimentos Básicos
Cerveza especial indian ipa La sagra botella 33 cl,CervezasVinoBebidasAlcoholicas,"1,99 €",https://www.dia.es/product_images/277137/277137_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Fiambre de pechuga de pavo adobada,Empanados y elaborados,"3,51 €",img_mercadona\Empanados_y_elaborados\Empanados_y_elaborados\Fiambre_de_pechuga_de_pavo_adobada_16.jpg,228.5,7.62,29.5,9.52,0.36,2.29,0.97,Mercadona,Carnes y Pescados
NUCHAR Pulpo cocido 3 patas NUCHAR Selección 200 g.,ahumados_surimis_anchoas_pulpos_otros,"2,10 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\NUCHAR_Pulpo_cocido_3_patas_NUCHAR_Selección_200_g._149.jpg,131,14.5,17.9,24.7,0.0,1.7,9.5,Alcampo,Carnes y Pescados
Pimientos secos Hacendado,Especias,"1,99 €",img_mercadona\Especias\Otras_especias\Pimientos_secos_Hacendado_18.jpg,237.33,3.83,45.9,6.3,0.36,0.08,0.67,Mercadona,Alimentos Básicos
Leche desnatada calcio Dia Láctea brik 1 l,LecheHuevosMantequilla,"0,95 €",https://www.dia.es/product_images/46626/46626_ISO_0_ES.jpg?imwidth=176,38kcal,"0,5g","4,8g","3,9g",0.0,"0,13g",0.0,Día,Lácteos y Huevos
Tarta infantil DC Comics Hacendado congelada,Tartas y churros (congelados),"13,80 €",img_mercadona\Tartas_y_churros_(congelados)\Tartas_infantiles\Tarta_infantil_DC_Comics_Hacendado_congelada_2.jpg,295.0,11.0,44.0,4.4,1.0,0.21,26.94,Mercadona,Dulces y Snacks
Anacardos recubiertos con chocolate con leche Naturmundo de Dia bolsa 150 g,PatatasFritasEncurtidosFrutosSecos,"2,95 €",https://www.dia.es/product_images/294819/294819_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Dulces y Snacks
"YOPRO de Danone Yogur con sabor a fresa, proteínas y sin azúcares añadidos ni grasa 2 x 160 g.",Yogures,"1,44 €","img_alcampo/Yogures\YOPRO_de_Danone_Yogur_con_sabor_a_fresa,_proteínas_y_sin_azúcares_añadidos_ni_grasa_2_x_160_g._47.jpg",164,11.4,19.3,19.5,0.0,1.0,8.6,Alcampo,Lácteos y Huevos
ORTIZ Verdel frito en escabeche 185 g.,Conservas de Pescado,"3,99 €",img_alcampo/Conservas de Pescado\ORTIZ_Verdel_frito_en_escabeche_185_g._142.jpg,189,11.1,11.7,22.2,0.0,1.5,3.5,Alcampo,Alimentos Procesados
Bebida espirituosa a base de vodka Knebep caramelo,Licores,"5,70 €",img_mercadona\Licores\Vodka\Bebida_espirituosa_a_base_de_vodka_Knebep_caramelo_0.jpg,179.68,6.74,20.81,8.41,0.0,0.0,14.46,Mercadona,Bebidas
Gaseosa en polvo edulcorado El tigre sobre 39 g,AguaRefrescosZumos,"0,85 €",https://www.dia.es/product_images/52667/52667_ISO_0_ES.jpg?imwidth=176,111kcal,0g,0g,0g,0.0,43g,0.0,Día,Bebidas
Postre de soja sabor mango Alpro sin azúcares añadidos,Postres de soja,"2,60 €",img_mercadona\Postres_de_soja\Postres_de_soja\Postre_de_soja_sabor_mango_Alpro_sin_azúcares_añadidos_3.jpg,57.0,0.5,3.4,11.0,0.52,0.16,4.03,Mercadona,Dulces y Snacks
ECOLECERA Garbanzos ecológicos en conserva ECOLECERA 425 g.,Arroz y Legumbres,"3,03 €",img_alcampo/Arroz y Legumbres\ECOLECERA_Garbanzos_ecológicos_en_conserva_ECOLECERA_425_g._257.jpg,224,17.0,28.7,24.8,0.0,0.3,1.8,Alcampo,Alimentos Básicos
Pollo entero,Aves y pollo,"6,17 €",img_mercadona\Aves_y_pollo\Pollo\Pollo_entero_18.jpg,179.68,6.74,20.81,8.41,0.0,1.33,0.85,Mercadona,Carnes y Pescados
Carne de mejillón de Chile cocido Hacendado ultracongelado,Marisco (congelados),"2,35 €",img_mercadona\Marisco_(congelados)\Marisco_de_concha_y_otros\Carne_de_mejillón_de_Chile_cocido_Hacendado_ultracongelado_1.jpg,72.67,1.2,3.53,12.0,0.0,0.64,0.0,Mercadona,Carnes y Pescados
Chorizo extra ya cortado España e hijos sobre 200 g,CharcuteriaQuesos,"2,89 €",https://www.dia.es/product_images/293714/293714_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Carnes y Pescados
Zumo pura naranja Hacendado,Naranja(Zumos),"2,80 €",img_mercadona\Naranja(Zumos)\Naranja\Zumo_pura_naranja_Hacendado_4.jpg,54.0,0.0,12.9,0.6,0.5,0.04,13.28,Mercadona,Bebidas
Barritas de cereales con chocolate negro Kellogg's Special K caja 129 g,GalletasBollosCereales,"3,70 €",https://www.dia.es/product_images/58680/58680_ISO_0_ES.jpg?imwidth=176,397kcal,"9,2g",67g,"6,8g",0.42498364944408107,"0,6g",0.0,Día,Alimentos Procesados
Palitos de galleta recubiertos de chocolate con leche Mikado estuche 75 g,GalletasBollosCereales,"1,99 €",https://www.dia.es/product_images/2755/2755_ISO_0_ES.jpg?imwidth=176,477kcal,19g,67g,"7,7g",0.42498364944408107,"0,85g",0.0,Día,Alimentos Procesados
PRODUCTO ALCAMPO Tableta de chocolate negro 72 % cacao 100 g.,Desayuno y Merienda,"1,19 €",img_alcampo/Desayuno y Merienda\PRODUCTO_ALCAMPO_Tableta_de_chocolate_negro_72_%_cacao_100_g._147.jpg,140,8.0,20.9,29.7,0.0,0.7,4.3,Alcampo,Alimentos Procesados
Tomate frito Orlando brik 3 x 212 g,AceitesSalsasEspecias,"1,99 €",https://www.dia.es/product_images/115525/115525_ISO_0_ES.jpg?imwidth=176,73kcal,"3,5g","9,1g","1,1g",0.7854950495049505,"1,5g",0.0,Día,Alimentos Básicos
Gotas de chocolate negro para fundir Hacendado,Chocolate,"2,25 €",img_mercadona\Chocolate\Chocolate_negro\Gotas_de_chocolate_negro_para_fundir_Hacendado_11.jpg,129.38,6.79,15.36,1.66,0.46,0.09,25.08,Mercadona,Dulces y Snacks
Pastel de atún Hacendado,Platos preparados fríos,"2,90 €",img_mercadona\Platos_preparados_fríos\Hummus_y_otros\Pastel_de_atún_Hacendado_5.jpg,90.57,4.95,8.55,1.9,3.39,0.76,0.55,Mercadona,Alimentos Procesados
Vino tinto D.O Méntrida Mimbral reserva,Vino tinto,No disponible,img_mercadona\Vino_tinto\Castilla_la_Mancha\Vino_tinto_D.O_Méntrida_Mimbral_reserva_5.jpg,179.68,6.74,20.81,8.41,0.0,0.02,4.62,Mercadona,Bebidas
Leche entera Pascual brik 1 l,LecheHuevosMantequilla,"1,33 €",https://www.dia.es/product_images/73676/73676_ISO_0_ES.jpg?imwidth=176,64kcal,"3,6g","4,6g","3,2g",0.0,"0,12g",0.0,Día,Lácteos y Huevos
Almeja Hacendado congelada,Marisco,"1,70 €",img_mercadona\Marisco\Marisco_de_concha\Almeja_Hacendado_congelada_4.jpg,71.0,1.15,4.1,11.08,0.0,0.98,0.0,Mercadona,Carnes y Pescados
Leche en polvo Sveltesse lata 600 g,LecheHuevosMantequilla,"8,57 €",https://www.dia.es/product_images/616/616_ISO_0_ES.jpg?imwidth=176,370kcal,1g,54g,"36,3g",0.09504394861392833,"1,35g",0.0,Día,Lácteos y Huevos
Cerveza sin alcohol Falke,Cerveza sin alcohol,"0,35 €",img_mercadona\Cerveza_sin_alcohol\Cerveza_lata\Cerveza_sin_alcohol_Falke_1.jpg,179.68,6.74,20.81,8.41,0.16,0.01,3.75,Mercadona,Bebidas
Aceite refinado de girasol Diasol botella 1 l,AceitesSalsasEspecias,"1,53 €",https://www.dia.es/product_images/101/101_ISO_0_ES.jpg?imwidth=176,828kcal,92g,0g,0g,0.0,0g,0.0,Día,Alimentos Básicos
Hummus de garbanzos Hacendado receta clásica,Platos preparados fríos,"1,10 €",img_mercadona\Platos_preparados_fríos\Hummus_y_otros\Hummus_de_garbanzos_Hacendado_receta_clásica_0.jpg,90.57,4.95,8.55,1.9,4.18,0.59,0.3,Mercadona,Alimentos Procesados
Pastillas de menta sin azúcar Smint caja 8 g,AzucarChocolatesCaramelos,"1,95 €",https://www.dia.es/product_images/17951/17951_ISO_0_ES.jpg?imwidth=176,253kcal,"1,1g",95g,0g,0.0,"0,34g",0.0,Día,Dulces y Snacks
Lomo extra adobado Selección de Dia bandeja 300 g,Carniceria,"2,39 €",https://www.dia.es/product_images/164337/164337_ISO_0_ES.jpg?imwidth=176,126kcal,"5,1g","0,4g",20g,0.0,"1,8g",0.0,Día,Carnes y Pescados
Bandeja de hamburguesas mixtas (pavo y pollo) ALDELÍS 4 x 80 g.,carne_elaborados,"0,78 €",img_alcampo/carne_elaborados\Bandeja_de_hamburguesas_mixtas_(pavo_y_pollo)_ALDELÍS_4_x_80_g._43.jpg,262,6.0,23.7,24.9,0.0,0.6,8.2,Alcampo,Carnes y Pescados
Canónigos Vegecampo de Dia bolsa 100 g,Verduras,"1,21 €",https://www.dia.es/product_images/105782/105782_ISO_0_ES.jpg?imwidth=176,27kcal,"0,5g","1,8g","2,2g",0.0,"0,01g",0.0,Día,Frutas y Verduras
"COLACAO Original Cacao en polvo soluble 1,75 Kg.",Desayuno y Merienda,"3,84 €","img_alcampo/Desayuno y Merienda\COLACAO_Original_Cacao_en_polvo_soluble_1,75_Kg._254.jpg",272,17.8,17.5,15.1,0.0,0.8,0.6,Alcampo,Alimentos Procesados
Pechuga de pavo finas lonchas Hacendado,Aves y jamón cocido,"1,90 €",img_mercadona\Aves_y_jamón_cocido\Pavo_y_otros\Pechuga_de_pavo_finas_lonchas_Hacendado_3.jpg,99.67,4.19,1.19,14.49,0.0,1.29,0.97,Mercadona,Carnes y Pescados
Cacao instantáneo Nesquik bolsa 1.2 Kg,CafeCacaoInfusiones,"7,89 €",https://www.dia.es/product_images/188952/188952_ISO_0_ES.jpg?imwidth=176,386kcal,"3,6g","78,9g","5,1g",0.0575997340425532,"0,41g",0.0,Día,Bebidas
Café soluble natural Nescafé frasco 200 g,CafeCacaoInfusiones,"6,65 €",https://www.dia.es/product_images/234/234_ISO_0_ES.jpg?imwidth=176,408kcal,"11,9g","70,4g","1,8g",0.0575997340425532,"0,83g",0.0,Día,Bebidas
Coulant de chocolate Hacendado,Gelatina y otros postres,"2,20 €",img_mercadona\Gelatina_y_otros_postres\Otros_postres\Coulant_de_chocolate_Hacendado_10.jpg,102.7,2.59,12.38,7.72,0.46,0.32,12.04,Mercadona,Dulces y Snacks
Sepia,Pescado fresco,"8,52 €","img_mercadona\Pescado_fresco\Sepia,_Pulpo_y_Calamar\Sepia_0.jpg",56.0,0.6,1.7,11.0,0.51,0.24,0.08,Mercadona,Carnes y Pescados
Agua mineral natural Aquarel botella 75 cl,AguaRefrescosZumos,"0,75 €",https://www.dia.es/product_images/258807/258807_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Queso lonchas cremoso havarti de vaca Hacendado,"Queso lonchas, rallado y en porciones","2,81 €","img_mercadona\Queso_lonchas,_rallado_y_en_porciones\Queso_lonchas\Queso_lonchas_cremoso_havarti_de_vaca_Hacendado_0.jpg",179.68,6.74,20.81,8.41,0.22,1.34,0.18,Mercadona,Lácteos y Huevos
Azúcar glacé seda Azucarera bote 500 g,AzucarChocolatesCaramelos,"2,50 €",https://www.dia.es/product_images/215452/215452_ISO_0_ES.jpg?imwidth=176,400kcal,0g,100g,0g,0.0,0g,0.0,Día,Dulces y Snacks
"EMCESA Bandeja de filetes de cinta lomo de cerdo adobado, elaborados sin gluten 260 g.",carne_elaborados,"4,78 €","img_alcampo/carne_elaborados\EMCESA_Bandeja_de_filetes_de_cinta_lomo_de_cerdo_adobado,_elaborados_sin_gluten_260_g._73.jpg",128,15.0,13.5,19.9,0.0,1.6,0.2,Alcampo,Carnes y Pescados
Whisky escocés Black Label Johnnie Walker,Licores,"28,95 €",img_mercadona\Licores\Whisky\Whisky_escocés_Black_Label_Johnnie_Walker_5.jpg,179.68,6.74,20.81,8.41,0.0,0.0,2.87,Mercadona,Bebidas
Fritada pisto Hacendado,Tomate,"1,30 €",img_mercadona\Tomate\Tomate\Fritada_pisto_Hacendado_10.jpg,179.68,6.74,20.81,8.41,0.85,0.75,3.58,Mercadona,Frutas y Verduras
Fideos de arroz vermicelli Tiger Khan bolsa 250 g,PizzasPlatosPreparados,"2,35 €",https://www.dia.es/product_images/189076/189076_ISO_0_ES.jpg?imwidth=176,340kcal,1g,75g,"6,9g",0.0,"0,02g",0.0,Día,Alimentos Procesados
Perlitas de chocolate blanco Dr. Oetker bolsa 100 g,CafeCacaoInfusiones,"2,59 €",https://www.dia.es/product_images/303681/303681_ISO_0_ES.jpg?imwidth=176,530kcal,28g,66g,"3,5g",0.0,"0,19g",0.0,Día,Bebidas
PASTORET Yogur artesanal cremoso con sabor a melocotón y maracuya  500 g.,Yogures,"1,44 €",img_alcampo/Yogures\PASTORET_Yogur_artesanal_cremoso_con_sabor_a_melocotón_y_maracuya__500_g._239.jpg,274,13.2,12.5,23.8,0.0,0.9,1.7,Alcampo,Lácteos y Huevos
CANTERO DE LETUR Yogur griego de cabra ecológico EL CANTERO DE LETUR 2 uds x 125 g.,Yogures,"2,27 €",img_alcampo/Yogures\CANTERO_DE_LETUR_Yogur_griego_de_cabra_ecológico_EL_CANTERO_DE_LETUR_2_uds_x_125_g._192.jpg,179,14.3,12.9,11.0,0.0,1.2,0.2,Alcampo,Lácteos y Huevos
LUENGO Extra Alubia pinta en paquete de 500 g.,Arroz y Legumbres,"1,97 €",img_alcampo/Arroz y Legumbres\LUENGO_Extra_Alubia_pinta_en_paquete_de_500_g._216.jpg,174,8.3,6.6,26.8,0.0,1.7,6.9,Alcampo,Alimentos Básicos
Caldo de marisco o fideuá para paella Hacendado con sofrito,Sopa y caldo,"2,10 €",img_mercadona\Sopa_y_caldo\Caldo_líquido\Caldo_de_marisco_o_fideuá_para_paella_Hacendado_con_sofrito_5.jpg,205.5,5.93,19.1,18.75,0.0,3.84,0.57,Mercadona,Alimentos Procesados
PASTORET Yogur azucarado estilo griego con frutos silvestres 150 g.,Yogures,"1,44 €",img_alcampo/Yogures\PASTORET_Yogur_azucarado_estilo_griego_con_frutos_silvestres_150_g._226.jpg,219,17.3,25.5,17.5,0.0,1.5,8.6,Alcampo,Lácteos y Huevos
Queso light rallado Dia Láctea bolsa 150 g,CharcuteriaQuesos,"1,75 €",https://www.dia.es/product_images/292469/292469_ISO_0_ES.jpg?imwidth=176,263kcal,"16,3g","1,7g","27,5g",0.0,"1,8g",0.0,Día,Carnes y Pescados
Queso rallado mozzarella pizza-Roma de vaca Hacendado,"Queso lonchas, rallado y en porciones","1,59 €","img_mercadona\Queso_lonchas,_rallado_y_en_porciones\Queso_rallado\Queso_rallado_mozzarella_pizza-Roma_de_vaca_Hacendado_1.jpg",179.68,6.74,20.81,8.41,0.18,1.01,0.15,Mercadona,Lácteos y Huevos
Queso en polvo especial pasta mezcla Hacendado,"Queso lonchas, rallado y en porciones","1,28 €","img_mercadona\Queso_lonchas,_rallado_y_en_porciones\Queso_rallado\Queso_en_polvo_especial_pasta_mezcla_Hacendado_2.jpg",179.68,6.74,20.81,8.41,0.21,1.62,0.22,Mercadona,Lácteos y Huevos
Mazorquitas de maíz Rioverde bote 190 g,ConservasCaldosCremas,"2,60 €",https://www.dia.es/product_images/253748/253748_ISO_0_ES.jpg?imwidth=176,40kcal,"0,4g","7,5g",1g,0.0,"1,5g",0.0,Día,Alimentos Procesados
Salmón (lomo),pescados_mariscos_moluscos,Precio no encontrado,img_alcampo/pescados_mariscos_moluscos\Salmón_(lomo)_4.jpg,207,16.8,20.0,10.9,0.0,1.4,3.3,Alcampo,Carnes y Pescados
Infusión de melatonina y pasiflora Pompadour caja 15 unidades,CafeCacaoInfusiones,"2,95 €",https://www.dia.es/product_images/301869/301869_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
AGUINAMAR Mejillones cocidos en su jugo 500 g.,ahumados_surimis_anchoas_pulpos_otros,"18,50 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\AGUINAMAR_Mejillones_cocidos_en_su_jugo_500_g._141.jpg,286,11.2,21.4,11.0,0.0,1.1,2.8,Alcampo,Carnes y Pescados
Cereales de desayuno natural Kellogg's All-Bran caja 450 g,GalletasBollosCereales,"3,50 €",https://www.dia.es/product_images/283094/283094_ISO_0_ES.jpg?imwidth=176,397kcal,"1,7g",78g,12g,0.42498364944408107,0g,0.0,Día,Alimentos Procesados
Maíz dulce Bonduelle lata 3 x 70 g,ConservasCaldosCremas,"2,59 €",https://www.dia.es/product_images/230798/230798_ISO_0_ES.jpg?imwidth=176,80kcal,"1,9g","10,8g","2,9g",0.42498364944408107,"0,4g",0.0,Día,Alimentos Procesados
Pepinillos pequeños Hacendado,Aceitunas y encurtidos,"1,50 €",img_mercadona\Aceitunas_y_encurtidos\Pepinillos_y_otros_encurtidos\Pepinillos_pequeños_Hacendado_0.jpg,190.07,18.84,0.95,2.29,0.0,1.6,0.88,Mercadona,Alimentos Básicos
Infusión Respir Hacendado,Té e infusiones,"1,40 €",img_mercadona\Té_e_infusiones\Infusiones\Infusión_Respir_Hacendado_12.jpg,58.0,1.43,10.93,1.13,0.07,0.01,0.49,Mercadona,Bebidas
Croquetas de jamón Hacendado ultracongeladas,Rebozados (congelados),"1,25 €",img_mercadona\Rebozados_(congelados)\Carne_rebozada\Croquetas_de_jamón_Hacendado_ultracongeladas_4.jpg,177.0,7.62,15.75,10.62,0.59,1.96,1.88,Mercadona,Carnes y Pescados
Pétalos salchichón extra 50% duroc Nuestra Alacena de Dia sobre 80 g,CharcuteriaQuesos,"1,99 €",https://www.dia.es/product_images/301722/301722_ISO_0_ES.jpg?imwidth=176,349kcal,25g,"5,9g",25g,0.0,"3,5g",0.0,Día,Carnes y Pescados
Tortilla de patata con cebolla Listo para Comer,Listo para Comer,"8,00 €",img_mercadona\Listo_para_Comer\Platos_calientes\Tortilla_de_patata_con_cebolla_Listo_para_Comer_3.jpg,127.36,4.41,14.41,7.23,2.32,1.35,1.37,Mercadona,Alimentos Procesados
Dúo canónigos y rúcula Vegecampo de Dia bolsa 100 g,Verduras,"1,42 €",https://www.dia.es/product_images/272831/272831_ISO_0_ES.jpg?imwidth=176,27kcal,"0,3g","2,3g","2,9g",0.0,"0,07g",0.0,Día,Frutas y Verduras
Margarina Flora Original,Mantequilla y margarina,"2,95 €",img_mercadona\Mantequilla_y_margarina\Margarina\Margarina_Flora_Original_6.jpg,142.0,10.0,10.0,3.0,0.0,0.1,0.0,Mercadona,Lácteos y Huevos
CALVO Calamares en su tinta en trozos pack de 3 latas de 48 g.,Conservas de Pescado,"2,94 €",img_alcampo/Conservas de Pescado\CALVO_Calamares_en_su_tinta_en_trozos_pack_de_3_latas_de_48_g._53.jpg,206,12.6,15.0,17.4,0.0,1.8,8.7,Alcampo,Alimentos Procesados
Huevos de gallinas camperas,Huevos,"2,67 €",img_mercadona\Huevos\Huevos\Huevos_de_gallinas_camperas_4.jpg,179.68,6.74,20.81,8.41,0.04,0.34,1.61,Mercadona,Lácteos y Huevos
Tiras de pechuga de pollo asado La pila bandeja 125 g,PizzasPlatosPreparados,"1,95 €",https://www.dia.es/product_images/105462/105462_ISO_0_ES.jpg?imwidth=176,102kcal,2g,1g,21g,0.0,"1,3g",0.0,Día,Alimentos Procesados
CAMPOFRÍO Salchichas cocidas tipo Frankfurt con doble de leche CAMPOFRÍO 140 g.,Charcuteria,"3,79 €",img_alcampo/Charcuteria\CAMPOFRÍO_Salchichas_cocidas_tipo_Frankfurt_con_doble_de_leche_CAMPOFRÍO_140_g._146.jpg,177,11.3,25.9,27.1,0.0,0.7,2.4,Alcampo,Carnes y Pescados
Pimentón dulce Vegecampo de Dia frasco 58 g,AceitesSalsasEspecias,"0,95 €",https://www.dia.es/product_images/297208/297208_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Alimentos Básicos
BURGO DE ARIAS Queso fresco desnatado 0% materia grasa BURGO DE ARIAS 4x72g.,Quesos,"3,60 €",img_alcampo/Quesos\BURGO_DE_ARIAS_Queso_fresco_desnatado_0%_materia_grasa_BURGO_DE_ARIAS_4x72g._94.jpg,259,6.2,3.8,17.9,0.0,0.1,7.2,Alcampo,Lácteos y Huevos
Yogur de soja sabor frutos rojos Alpro vaso 400 g,YoguresPostres,"2,59 €",https://www.dia.es/product_images/278517/278517_ISO_0_ES.jpg?imwidth=176,65kcal,"2,1g","6,6g","3,7g",0.09504394861392833,"0,23g",0.0,Día,Lácteos y Huevos
Manos de cerdo,Cerdo,"3,10 €",img_mercadona\Cerdo\Cerdo\Manos_de_cerdo_8.jpg,206.67,4.88,23.48,17.1,0.0,0.45,0.1,Mercadona,Carnes y Pescados
GARCÍA BAQUERO Queso semicurado light en lonchas GARCÍA BAQUERO 150 g.,Quesos,"1,74 €",img_alcampo/Quesos\GARCÍA_BAQUERO_Queso_semicurado_light_en_lonchas_GARCÍA_BAQUERO_150_g._116.jpg,247,17.0,2.6,12.1,0.0,1.5,1.7,Alcampo,Lácteos y Huevos
Pizza campestre Al Punto Dia caja 400 g,Congelados,"2,49 €",https://www.dia.es/product_images/46197/46197_ISO_0_ES.jpg?imwidth=176,206kcal,"4,2g",33g,"8,3g",0.0,"1,2g",0.0,Día,Alimentos Procesados
